Year, Month, Day,     Extent,Ice_Concentration_Percent,Surface_Temperature (in Celsius)
1978,10,26,10.231,12.34,-15.14
1978,10,28,10.42,,-3.64
1978,10,30,10.557,84.61,-37.7
1978,11,1,10.67,12.54,-14.24
1978,11,3,10.777,78.04,-8.84
1978,11,5,10.968,50.81,-19.9
1978,11,7,11.08,99.78,-17.81
1978,11,9,11.189,95.82,-27
1978,11,11,11.314,90.19,-24.82
1978,11,13,11.46,49.64,-15.31
1978,11,15,11.539,,-17.09
1978,11,17,11.696,,
1978,11,19,11.87,74.39,-4.18
1978,11,21,12.053,,-16.67
1978,11,23,12.274,45.26,
1978,11,25,12.441,80.09,-17.43
1978,11,27,12.662,93.82,-6.07
1978,11,29,12.684,44.56,
1978,12,1,12.725,22.46,-25.29
1978,12,3,12.66,,
1978,12,5,12.785,39.59,-14.1
1978,12,7,13.051,,-9.92
1978,12,9,13.143,19.47,-33.29
1978,12,11,13.437,,2.95
1978,12,13,13.603,71.69,-17.35
1978,12,15,13.649,,-28.71
1978,12,17,13.807,,-9.84
1978,12,19,13.892,0.84,-26.12
1978,12,21,13.996,,-0.19
1978,12,23,14.189,,-15.35
1978,12,25,14.268,73,-37.33
1978,12,27,14.383,91.26,-24.14
1978,12,29,14.5,94.02,-30.41
1978,12,31,14.585,61.44,-15.34
1979,1,2,14.997,,-32.35
1979,1,4,14.922,,-11.95
1979,1,6,14.929,10.19,-18.63
1979,1,8,14.968,54.72,
1979,1,10,15.19,64.08,-6.94
1979,1,12,15.327,,-28.34
1979,1,14,15.352,19,
1979,1,16,15.5,3.04,-13.97
1979,1,18,15.517,,-37.48
1979,1,20,15.709,50.54,-22.58
1979,1,22,15.679,44.06,-38.28
1979,1,24,15.745,7.27,-28.63
1979,1,26,15.686,59.27,-12.96
1979,1,28,15.777,67.41,-7.71
1979,1,30,15.912,26.31,-22.41
1979,2,1,15.857,75.04,-15.87
1979,2,3,15.839,76.03,-19.4
1979,2,5,15.831,69.63,-20.83
1979,2,7,15.801,53.47,
1979,2,9,15.99,,
1979,2,11,16.099,93.24,-5.67
1979,2,13,16.289,76.88,-3.54
1979,2,15,16.323,33.92,2.29
1979,2,17,16.343,,-1.37
1979,2,19,16.291,2.48,-19.84
1979,2,21,16.26,65.59,-11.02
1979,2,23,16.401,81.73,-35.65
1979,2,25,16.579,,-15
1979,2,27,16.551,,-30.57
1979,3,1,16.635,9.58,
1979,3,3,16.457,97.98,-1.12
1979,3,5,16.568,57.58,-26.6
1979,3,7,16.547,57.16,
1979,3,9,16.536,57.35,-2.06
1979,3,11,16.513,,-22.84
1979,3,13,16.414,1.72,-16.29
1979,3,15,16.31,,-39.18
1979,3,17,16.467,91.69,-21.27
1979,3,19,16.505,0.89,-24.55
1979,3,21,16.349,14.48,-6.99
1979,3,23,16.279,12.82,-14.71
1979,3,25,16.264,40.54,-20.95
1979,3,27,16.06,99,-11.11
1979,3,29,15.763,19.73,-1.25
1979,3,31,15.804,46.08,-2.11
1979,4,2,15.66,42.96,
1979,4,4,15.641,14.34,0.11
1979,4,6,15.695,,-13.13
1979,4,8,15.794,64.24,-16.65
1979,4,10,15.761,,
1979,4,12,15.655,45.22,-29.17
1979,4,14,15.5,99.44,4.58
1979,4,16,15.454,26.5,-12.55
1979,4,18,15.51,23.97,-14.26
1979,4,20,15.343,9.89,-22.37
1979,4,22,15.255,35.38,
1979,4,24,15.224,96.77,0.84
1979,4,26,15.141,32.7,-2.87
1979,4,28,15.108,3.03,-34.95
1979,4,30,14.961,59.82,-22.71
1979,5,2,14.626,11.94,
1979,5,4,14.498,,-27.43
1979,5,6,14.45,57.84,
1979,5,8,14.325,99.14,2.06
1979,5,10,14.149,55.59,-18.2
1979,5,12,14.012,35.27,
1979,5,14,13.836,,-11.58
1979,5,16,13.862,0.18,-26.61
